measure_id,source_measure_id,measure_start_date,measure_end_date
1,H_CLEAN_HSP_A_P,07/01/17,06/30/2018
2,H_CLEAN_HSP_SN_P,07/01/17,06/30/2018
3,H_CLEAN_HSP_U_P,07/01/17,06/30/2018
4,H_CLEAN_LINEAR_SCORE,07/01/17,06/30/2018
5,H_CLEAN_STAR_RATING,07/01/17,06/30/2018
6,H_COMP_1_A_P,07/01/17,06/30/2018
7,H_COMP_1_LINEAR_SCORE,07/01/17,06/30/2018
8,H_COMP_1_SN_P,07/01/17,06/30/2018
9,H_COMP_1_STAR_RATING,07/01/17,06/30/2018
10,H_COMP_1_U_P,07/01/17,06/30/2018
11,H_COMP_2_A_P,07/01/17,06/30/2018
12,H_COMP_2_LINEAR_SCORE,07/01/17,06/30/2018
13,H_COMP_2_SN_P,07/01/17,06/30/2018
14,H_COMP_2_STAR_RATING,07/01/17,06/30/2018
15,H_COMP_2_U_P,07/01/17,06/30/2018
16,H_COMP_3_A_P,07/01/17,06/30/2018
17,H_COMP_3_LINEAR_SCORE,07/01/17,06/30/2018
18,H_COMP_3_SN_P,07/01/17,06/30/2018
19,H_COMP_3_STAR_RATING,07/01/17,06/30/2018
20,H_COMP_3_U_P,07/01/17,06/30/2018
21,H_COMP_5_A_P,07/01/17,06/30/2018
22,H_COMP_5_LINEAR_SCORE,07/01/17,06/30/2018
23,H_COMP_5_SN_P,07/01/17,06/30/2018
24,H_COMP_5_STAR_RATING,07/01/17,06/30/2018
25,H_COMP_5_U_P,07/01/17,06/30/2018
26,H_COMP_6_LINEAR_SCORE,07/01/17,06/30/2018
27,H_COMP_6_N_P,07/01/17,06/30/2018
28,H_COMP_6_STAR_RATING,07/01/17,06/30/2018
29,H_COMP_6_Y_P,07/01/17,06/30/2018
30,H_COMP_7_A,07/01/17,06/30/2018
31,H_COMP_7_D_SD,07/01/17,06/30/2018
32,H_COMP_7_LINEAR_SCORE,07/01/17,06/30/2018
33,H_COMP_7_SA,07/01/17,06/30/2018
34,H_COMP_7_STAR_RATING,07/01/17,06/30/2018
35,H_HSP_RATING_0_6,07/01/17,06/30/2018
36,H_HSP_RATING_7_8,07/01/17,06/30/2018
37,H_HSP_RATING_9_10,07/01/17,06/30/2018
38,H_HSP_RATING_LINEAR_SCORE,07/01/17,06/30/2018
39,H_HSP_RATING_STAR_RATING,07/01/17,06/30/2018
40,H_QUIET_HSP_A_P,07/01/17,06/30/2018
41,H_QUIET_HSP_SN_P,07/01/17,06/30/2018
42,H_QUIET_HSP_U_P,07/01/17,06/30/2018
43,H_QUIET_LINEAR_SCORE,07/01/17,06/30/2018
44,H_QUIET_STAR_RATING,07/01/17,06/30/2018
45,H_RECMND_DN,07/01/17,06/30/2018
46,H_RECMND_DY,07/01/17,06/30/2018
47,H_RECMND_LINEAR_SCORE,07/01/17,06/30/2018
48,H_RECMND_PY,07/01/17,06/30/2018
49,H_RECMND_STAR_RATING,07/01/17,06/30/2018
50,H_STAR_RATING,07/01/17,06/30/2018
